ID,TLC,EOM,LEAF,Gaia,RAdeg,DEdeg,plx,Gmag,bp-rp,Weight,teff_gspphot,radius_gspphot,teff_gspspec,logg_gspspec,teff_esphs,logg_esphs,tic,tmag,noise
26295,18,1,,3284966433101477376,65.6376,5.6941,6.284,9.03,0.72,0.08,6288.70654296875,1.9084999561309814,6718.0,4.389999866485596,nan,nan,454152849,8.65313,0.0004897362993316241
26304,18,1,,3299306676067811200,63.8837,8.8923,6.665,4.18,-0.06,0.09,15005.779296875,7.525599956512451,8000.0,4.329999923706055,nan,nan,283793973,4.35547,0.0004652310184233311
26385,18,1,,36290107127257344,57.0701,11.1445,7.223,9.27,0.62,0.1,6378.2646484375,1.3585000038146973,nan,nan,nan,nan,468892186,8.94366,0.0004972945875785012
26438,18,1,,3276419929219795328,56.8065,5.4399,5.861,9.31,0.67,0.02,6439.0693359375,1.6908999681472778,nan,nan,nan,nan,453831755,8.96272,0.0004978395677285882
26526,18,2,,3227586219783349376,78.2538,-0.092,6.804,7.98,0.21,0.07,9894.9814453125,1.514299988746643,nan,nan,8263.94140625,4.133720397949219,248993554,7.88972,0.00047718488338533457
26548,18,2,,3216350550976307712,86.0367,-2.5026,6.832,9.33,0.62,0.08,6377.13720703125,1.385200023651123,nan,nan,nan,nan,72833644,9.00177,0.0005001090833537786
26579,18,2,,3014913458059485184,80.8283,-8.4169,6.956,8.02,0.5,0.36,6777.16064453125,2.145400047302246,nan,nan,nan,nan,24662303,7.75953,0.0004757773828843746
26584,18,2,,3014986300704795520,80.9318,-8.2896,6.908,7.64,0.21,0.5,8084.13916015625,1.7868000268936157,7400.0,4.0,nan,nan,24662382,7.54552,0.00047376774580335754
26829,18,3,,3188098427902106240,73.1915,-6.3582,5.546,8.29,0.19,0.08,9940.236328125,1.5082999467849731,nan,nan,nan,nan,9381034,8.20273,0.0004812703930989351
26976,18,4,A,3407205875270521216,76.2086,18.2539,8.392,7.62,0.21,0.2,8444.34765625,1.5068999528884888,nan,nan,nan,nan,69277391,7.51986,0.0004737457542872865
27437,18,8,B,164666022471759232,64.1171,28.1265,7.702,12.07,2.17,0.44,6320.48291015625,1.37909996509552,nan,nan,nan,nan,58108662,10.9722,0.0006876052189478528
27445,18,8,B,163179006011625088,63.7179,28.0998,7.395,14.08,3.71,0.34,7573.45263671875,1.7182999849319458,nan,nan,nan,nan,56627464,12.7032,0.0013762833646194436
27631,18,10,,3314244361868283520,68.3869,18.0167,6.667,6.99,0.08,0.45,9663.6044921875,2.3782999515533447,nan,nan,nan,nan,673686238,7.00426,0.00047022171060842746
27657,18,11,,151127907597788672,68.478,26.2242,6.173,13.21,2.73,0.29,7130.2353515625,1.458299994468689,nan,nan,nan,nan,268443571,12.0699,0.00104764715419929
27713,18,-1,,3418360283295737472,75.7044,22.9743,6.358,9.5,0.65,0.09,6439.98486328125,1.4225000143051147,nan,nan,nan,nan,69089600,9.16789,0.0005084122571648986
27807,18,-1,,3418558745144604544,75.7014,23.2116,7.275,9.54,0.67,0.08,6202.32275390625,1.2446999549865723,6341.0,4.849999904632568,nan,nan,69089056,9.205,0.0005101293807784648
27922,18,-1,,3418944570647006592,78.0483,24.2791,10.04,7.89,0.58,0.03,6657.2646484375,1.6859999895095825,6764.0,4.329999923706055,nan,nan,70101853,7.583,0.00047475867728306604
28135,18,-1,,3430864165747570944,89.327,27.37,5.366,9.53,0.65,0.03,6495.30322265625,1.608199954032898,nan,nan,nan,nan,78707580,9.18918,0.0005443139652831989
28144,18,-1,,3242451548271222144,78.794,8.4322,10.54,7.64,0.4,0.15,7246.5771484375,1.5520000457763672,nan,nan,nan,nan,345584999,7.4319,0.0004729411763039425
28207,18,-1,,3447899797047628032,83.7198,31.6357,4.861,9.28,0.44,0.01,7368.169921875,1.5547000169754028,nan,nan,nan,nan,115393994,9.06113,0.0005396816325379139
28256,18,-1,,232810901302956032,63.5535,44.7495,7.663,8.32,0.44,0.01,7055.1376953125,1.5638999938964844,nan,nan,nan,nan,259983235,8.08903,0.0004835066747240811
28339,18,-1,,3208822710258306048,81.4992,-6.9635,5.357,8.25,0.36,0.02,7441.1279296875,2.1949000358581543,nan,nan,nan,nan,24722822,8.06915,0.0004794357696913115
